Course Number,Course Title,Description,Class Type (U/G),Semester,Rest,Prerequisites,Credit structure,Instructor,Lecture,Lab,Recitation,Partial Lab,Corequisites,Units
8.324,Relativistic Quantum Field Theory II,"sThe second term of the quantum field theory sequence. Develops in depth some of the topics discussed in 8.323 and introduces some advanced material. Topics: perturbation theory and Feynman diagrams, scattering theory, Quantum Electrodynamics, one loop renormalization, quantization of non-abelian gauge theories, the Standard Model of particle physics, other topics.Textbooks Fall 2024endend8.334 Statistical Mechanics IISecond part of a two-subject sequence on statistical mechanics. Explores topics from modern statistical mechanics: the hydrodynamic limit and classical field theories. Phase transitions and broken symmetries: universality, correlation functions, and scaling theory. The renormalization approach to collective phenomena. Dynamic critical behavior. Random systems.",Graduate,Spring,,8.333 ,4-0-8,M. Kardar,"MW9.30-11, 56-154",,"F10, 26-328",,,
8.325,Relativistic Quantum Field Theory III,The third and last term of the quantum field theory sequence. Its aim is the proper theoretical discussion of the physics of the standard model. Topics: quantum chromodynamics; Higgs phenomenon and a description of the standard model; deep-inelastic scattering and structure functions; basics of lattice gauge theory; operator products and effective theories; detailed structure of the standard model; spontaneously broken gauge theory and its quantization; instantons and theta-vacua; topological defects; introduction to supersymmetry.Staff,Graduate,Spring,,8.324 ,4-0-8,,,,,,,
8.333,Statistical Mechanics I,"URL:http://web.mit.edu/physics/subjects/index.html+finalsFirst part of a two-subject sequence on statistical mechanics. Examines the laws of thermodynamics and the concepts of temperature, work, heat, and entropy. Postulates of classical statistical mechanics, microcanonical, canonical, and grand canonical distributions; applications to lattice vibrations, ideal gas, photon gas. Quantum statistical mechanics; Fermi and Bose systems. Interacting systems: cluster expansions, van der Waal's gas, and mean-field theory.Textbooks Fall 2024",Graduate,Fall,,8.044  8.05 ,4-0-8,J. Tailleur,"MW2.30-4, 37-212",,"F2.30-4, 4-163",,,
8.334,Statistical Mechanics II,"Second part of a two-subject sequence on statistical mechanics. Explores topics from modern statistical mechanics: the hydrodynamic limit and classical field theories. Phase transitions and broken symmetries: universality, correlation functions, and scaling theory. The renormalization approach to collective phenomena. Dynamic critical behavior. Random systems.",Graduate,Spring,,8.333 ,4-0-8,M. Kardar,,,,,,
8.351[J],Classical Mechanics: A Computational Approach,"Same subject as6.5160[J],12.620[J]sClassical mechanics in a computational framework, Lagrangian formulation, action, variational principles, and Hamilton's principle. Conserved quantities, Hamiltonian formulation, surfaces of section, chaos, and Liouville's theorem. Poincaré integral invariants, Poincaré-Birkhoff and KAM theorems. Invariant curves and cantori. Nonlinear resonances, resonance overlap and transition to chaos. Symplectic integration. Adiabatic invariants. Applications to simple physical systems and solar system dynamics. Extensive use of computation to capture methods, for simulation, and for symbolic analysis. Programming experience required.Textbooks Fall 2024",Graduate,Fall,,"Physics I (GIR)  18.03 , and permission of instructor ",3-3-6,"J. Wisdom, G. J. Sussman","MWF1, 54-824","W EVE (7-10 PM), 54-824",,,,
8.370[J],Quantum Computation,"Same subject as2.111[J],6.6410[J],18.435[J]+finalsProvides an introduction to the theory and practice of quantum computation. Topics covered: physics of information processing; quantum algorithms including the factoring algorithm and Grover's search algorithm; quantum error correction; quantum communication and cryptography. Knowledge of quantum mechanics helpful but not required.Textbooks Fall 2024",Graduate,Fall,,8.05  18.06  18.700  18.701  18.C06 ,3-0-9,P. Shor,"MWF1, 4-370",,,,,
8.371[J],Quantum Information Science,"Same subject as6.6420[J],18.436[J]Examines quantum computation and quantum information. Topics include quantum circuits, the quantum Fourier transform and search algorithms, the quantum operations formalism, quantum error correction, Calderbank-Shor-Steane and stabilizer codes, fault tolerant quantum computation, quantum data compression, quantum entanglement, capacity of quantum channels, and quantum cryptography and the proof of its security. Prior knowledge of quantum mechanics required.Staff",Graduate,Spring,,18.435 ,3-0-9,,,,,,,
8.372,Quantum Information Science III,"sThird subject in the Quantum Information Science QIS sequence, building on 8.370 and 8.371. Further explores core topics in quantum information science, such as quantum information theory, error-correction, physical implementations, algorithms, cryptography, and complexity. Draws connections between QIS and related fields, such as many-body physics, and applications such as sensing.Textbooks Fall 2024",Graduate,Fall,,8.371 ,3-0-9,A. Harrow,"TR2.30-4, 3-370",,,,,
"8.381,",8.382 Selected Topics in Theoretical Physics,",Not offered regularly; consult departmentTopics of current interest in theoretical physics, varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,,3-0-9,,,,,,,
8.391,Pre-Thesis Research,"Consult advisor: time TBA Room: 4-303. TBA.sAdvanced problems in any area of experimental or theoretical physics, with assigned reading and consultations.Chakrabarty, DeeptoNo required or recommended textbooks",Graduate,Fall,,,,,,,,,,Units arranged
8.392,Pre-Thesis Research,",Advanced problems in any area of experimental or theoretical physics, with assigned reading and consultations.Chakrabarty, DeeptoNo required or recommended textbooks",Graduate,Summer,,,,,,,,,,Units arranged
8.395[J],Teaching College-Level Science and Engineering,"Same subject as1.95[J],5.95[J],7.59[J],18.094[J]TBA.sParticipatory seminar focuses on the knowledge and skills necessary for teaching science and engineering in higher education. Topics include theories of adult learning; course development; promoting active learning, problemsolving, and critical thinking in students; communicating with a diverse student body; using educational technology to further learning; lecturing; creating effective tests and assignments; and assessment and evaluation. Students research and present a relevant topic of particular interest. Appropriate for both novices and those with teaching experience.No textbook information available",Graduate,Fall,,,2-0-2 [P/D/F],J. Rankin,,,,,,
8.396[J],"Leadership and Professional Strategies & Skills Training (LEAPS), Part I: Advancing Your Professional Strategies and Skills","; second half of termSame subject as5.961[J],9.980[J],12.396[J],18.896[J]Part I of two parts of the LEAPS graduate career development and training series. Topics include: navigating and charting an academic career with confidence; convincing an audience with clear writing and arguments; mastering public speaking and communications; networking at conferences and building a brand; identifying transferable skills; preparing for a successful job application package and job interviews; understanding group dynamics and different leadership styles; leading a group or team with purpose and confidence. Postdocs encouraged to attend as non-registered participants. Limited to 80.",Graduate,Spring,,,2-0-1 [P/D/F],A. Frebel,,,,,,
8.397[J],"Leadership and Professional Strategies & Skills Training (LEAPS), Part II: Developing Your Leadership Competencies","; first half of termSame subject as5.962[J],9.981[J],12.397[J],18.897[J]Part II of two parts of the LEAPS graduate career development and training series. Topics covered include gaining self awareness and awareness of others, and communicating with different personality types; learning about team building practices; strategies for recognizing and resolving conflict and bias; advocating for diversity and inclusion; becoming organizationally savvy; having the courage to be an ethical leader; coaching, mentoring, and developing others; championing, accepting, and implementing change. Postdocs encouraged to attend as non-registered participants. Limited to 80.",Graduate,Spring,,,2-0-1 [P/D/F],D. Rigos,,,,,,
8.398,Doctoral Seminar in Physics,",sA seminar for first-year PhD students presenting topics of current interest, with content varying from year to year. Open only to first-year graduate students in Physics.No required or recommended textbooks",Graduate,Spring,,,1-0-2 [P/D/F],E. Kara,"W12, 26-414",,,,,
8.399,Physics Teaching,",TBA.sFor qualified graduate students interested in gaining some experience in teaching. Laboratory, tutorial, or classroom teaching under the supervision of a faculty member. Students selected by interview.No required or recommended textbooks",Graduate,Spring,,,,C. Paus,,,,,,Units arranged
Physics,"of Atoms, Radiation, Solids, Fluids, and Plasmas",,Undergraduate,,,,,,,,,,,
8.421,Atomic and Optical Physics I,"The first of a two-term subject sequence that provides the foundations for contemporary research in selected areas of atomic and optical phsyics. The interaction of radiation with atoms: resonance; absorption, stimulated and spontaneous emission; methods of resonance, dressed atom formalism, masers and lasers, cavity quantum electrodynamics; structure of simple atoms, behavior in very strong fields; fundamental tests: time reversal, parity violations, Bell's inequalities; and experimental methods.StaffendendendendendSpace Physics and Astrophysicsendendendendendendendendendendendendendendendendendend",Graduate,Spring,,8.05 ,3-0-9,,,,,,,
8.422,Atomic and Optical Physics II,"sThe second of a two-term subject sequence that provides the foundations for contemporary research in selected areas of atomic and optical physics. Non-classical states of light- squeezed states; multi-photon processes, Raman scattering; coherence- level crossings, quantum beats, double resonance, superradiance; trapping and cooling- light forces, laser cooling, atom optics, spectroscopy of trapped atoms and ions; atomic interactions- classical collisions, quantum scattering theory, ultracold collisions; and experimental methods.Textbooks Fall 2024",Graduate,Fall,,8.05 ,3-0-9,M. Zwierlein,"MW1-2.30, 32-124",,,,,
8.431[J],Nonlinear Optics,"Same subject as6.6340[J]Techniques of nonlinear optics with emphasis on fundamentals for research in optics, photonics, spectroscopy, and ultrafast science. Topics include: electro-optic modulators and devices, sum and difference frequency generation, and parametric conversion. Nonlinear propagation effects in optical fibers including self-phase modulation, pulse compression, solitons, communication, and femtosecond fiber lasers. Review of quantum mechanics, interaction of light with matter, laser gain and operation, density matrix techniques, perturbation theory, diagrammatic methods, nonlinear spectroscopies, ultrafast lasers and measurements. Discussion of research operations and funding and professional development topics. Introduces fundamental methods and techniques needed for independent research in advanced optics and photonics, but useful in many other engineering and physics disciplines.Staff",Graduate,Spring,,6.2300  8.03 ,3-0-9,,,,,,,
"8.481,",8.482 Selected Topics in Physics of Atoms and Radiation,",Not offered regularly; consult departmentPresentation of topics of current interest, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,8.321 ,3-0-9,,,,,,,
8.511,Theory of Solids I,"sFirst term of a theoretical treatment of the physics of solids. Concept of elementary excitations. Symmetry- translational, rotational, and time-reversal invariances- theory of representations. Energy bands- electrons and phonons. Topological band theory. Survey of electronic structure of metals, semimetals, semiconductors, and insulators, excitons, critical points, response functions, and interactions in the electron gas. Theory of superconductivity.Textbooks Fall 2024endendendendendendendendendendendNuclear and Particle Physicsendendendendendendendendendendend8.872 Selected Topics in Theoretical Particle PhysicsSubject CancelledsPresents topics of current interest in theoretical particle physics, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Fall,,8.323 ,3-0-9,L. Levitov,"MW1-2.30, 2-105",,"F1-2.30, 4-261",,,
8.512,Theory of Solids II,"Second term of a theoretical treatment of the physics of solids. Interacting electron gas: many-body formulation, Feynman diagrams, random phase approximation and beyond. General theory of linear response: dielectric function; sum rules; plasmons; optical properties; applications to semiconductors, metals, and insulators. Transport properties: non-interacting electron gas with impurities, diffusons. Quantum Hall effect: integral and fractional. Electron-phonon interaction: general theory, applications to metals, semiconductors and insulators, polarons, and field-theory description. Superconductivity: experimental observations, phenomenological theories, and BCS theory.Staff",Graduate,Spring,,8.511 ,3-0-9,,,,,,,
8.513,Many-Body Theory for Condensed Matter Systems,"sConcepts and physical pictures behind various phenomena that appear in interacting many-body systems. Visualization occurs through concentration on path integral, mean-field theories and semiclassical picture of fluctuations around mean-field state. Topics covered: interacting boson/fermion systems, Fermi liquid theory and bosonization, symmetry breaking and nonlinear sigma-model, quantum gauge theory, quantum Hall theory, mean-field theory of spin liquids and quantum order, string-net condensation and emergence of light and fermions.No required or recommended textbooks",Graduate,Fall,,8.033  8.05  8.08  8.231 ,3-0-9,X-G. Wen,"TR2.30-4, 4-261",,,,,
8.514,Strongly Correlated Systems in Condensed Matter Physics,"Study of condensed matter systems where interactions between electrons play an important role. Topics vary depending on lecturer but may include low-dimension magnetic and electronic systems, disorder and quantum transport, magnetic impurities the Kondo problem, quantum spin systems, the Hubbard model and high-temperature superconductors. Topics are chosen to illustrate the application of diagrammatic techniques, field-theory approaches, and renormalization group methods in condensed matter physics.Staff",Graduate,Spring,,8.322  8.333 ,3-0-9,,,,,,,
"8.581,",8.582 Selected Topics in Condensed Matter Physics,"Not offered regularly; consult departmentPresentation of topics of current interest, with contents varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.",Graduate,Spring,,,3-0-9,W. Oliver,,,,,,
8.590[J],Topics in Biophysics and Physical Biology,"Same subject as7.74[J],20.416[J]Provides broad exposure to research in biophysics and physical biology, with emphasis on the critical evaluation of scientific literature. Weekly meetings include in-depth discussion of scientific literature led by distinct faculty on active research topics. Each session also includes brief discussion of non-research topics including effective presentation skills, writing papers and fellowship proposals, choosing scientific and technical research topics, time management, and scientific ethics.",Graduate,Fall,,,2-0-4 [P/D/F],"J. Gore, N. Fakhri",,,,,,
8.591[J],Systems Biology,"Same subject as7.81[J]sIntroduction to cellular and population-level systems biology with an emphasis on synthetic biology, modeling of genetic networks, cell-cell interactions, and evolutionary dynamics.  Cellular systems include genetic switches and oscillators, network motifs, genetic network evolution, and cellular decision-making.  Population-level systems include models of pattern formation, cell-cell communication, and evolutionary systems biology. Students taking graduate version explore the subject in more depth.Textbooks Fall 2024",Graduate,Fall,,18.03  18.05 ) or permission of instructor ,3-0-9,J. Gore,"TR1-2.30, 4-159",,"W EVE (4.30-6 PM), 2-147",,,
8.592[J],Statistical Physics in Biology,"Same subject asHST.452[J]sA survey of problems at the interface of statistical physics and modern biology: bioinformatic methods for extracting information content of DNA; gene finding, sequence comparison, phylogenetic trees. Physical interactions responsible for structure of biopolymers; DNA double helix, secondary structure of RNA, elements of protein folding. Considerations of force, motion, and packaging; protein motors, membranes. Collective behavior of biological elements; cellular networks, neural networks, and evolution.Textbooks Fall 2024",Graduate,Fall,,8.333 or permission of instructor ,3-0-9,M. Kardar,"TR9.30-11, 26-314",,,,,
8.593[J],Biological Physics,"Not offered regularly; consult departmentSame subject asHST.450[J]Designed to provide seniors and first-year graduate students with a quantitative, analytical understanding of selected biological phenomena. Topics include experimental and theoretical basis for the phase boundaries and equation of state of concentrated protein solutions, with application to diseases such as sickle cell anemia and cataract. Protein-ligand binding and linkage and the theory of allosteric regulation of protein function, with application to proteins as stores as transporters in respiration, enzymes in metabolic pathways, membrane receptors, regulators of gene expression, and self-assembling scaffolds. The physics of locomotion and chemoreception in bacteria and the biophysics of vision, including the theory of transparency of the eye, molecular basis of photo reception, and the detection of light as a signal-to-noise discrimination.Staff",Graduate,Spring,,8.044  ,4-0-8,,,,,,,
8.613[J],Introduction to Plasma Physics I,"Same subject as22.611[J]+finalsIntroduces plasma phenomena relevant to energy generation by controlled thermonuclear fusion and to astrophysics. Elementary plasma concepts, plasma characterization. Motion of charged particles in magnetic fields. Coulomb collisions, relaxation times, transport processes. Two-fluid hydrodynamic and MHD descriptions. Plasma confinement by magnetic fields, simple equilibrium and stability analysis. Wave propagation in a magnetic field; application to RF plasma heating. Introduction to kinetic theory; Vlasov, Boltzmann and Fokker-Planck equations; relation of fluid and kinetic descriptions. Electron and ion acoustic plasma waves, Landau damping.Textbooks Fall 2024endendend8.642 Physics of High-Energy Plasmas IINot offered regularly; consult departmentPhysics of High-Energy Plasmas I and II address basic concepts of plasmas, with temperatures of thermonuclear interest, relevant to fusion research and astrophysics. Microscopic transport processes due to interparticle collisions and collective modes e.g., microinstabilities. Relevant macroscopic transport coefficients electrical resistivity, thermal conductivities, particle ""diffusion"". Runaway and slide-away regimes. Magnetic reconnection processes and their relevance to experimental observations. Radiation emission from inhomogeneous plasmas. Conditions for thermonuclear burning and ignition D-T and ""advanced"" fusion reactions, plasmas with polarized nuclei. Role of ""impurity"" nuclei. ""Finite-β"" pressure regimes and ballooning modes. Convective modes in configuration and velocity space. Trapped particle regimes. Nonlinear and explosive instabilities. Interaction of positive and negative energy modes. Each subject can be taken independently.Staff",Graduate,Fall,,22.611 ,3-0-9,J. Hare,"TR3-4.30, NW14-1112",,,,18.075,
8.614[J],Introduction to Plasma Physics II,"Same subject as22.612[J]Follow-up to 22.611 provides in-depth coverage of several fundamental topics in plasma physics, selected for their wide relevance and applicability, from fusion to space- and astro-physics. Covers both kinetic and fluid instabilities: two-stream, Weibel, magnetorotational, parametric, ion-temperature-gradient, and pressure-anisotropy-driven instabilities mirror, firehose. Also covers advanced fluid models, and drift-kinetic and gyrokinetic equations. Special attention to dynamo theory, magnetic reconnection, MHD turbulence, kinetic turbulence, and shocks.Staff",Graduate,Spring,,22.611 ,3-0-9,,,,,,,
8.624,Plasma Waves,"Not offered regularly; consult departmentComprehensive theory of electromagnetic waves in a magnetized plasma. Wave propagation in cold and hot plasmas. Energy flow. Absorption by Landau and cyclotron damping and by transit time magnetic pumping TTMP. Wave propagation in inhomogeneous plasma: accessibility, WKB theory, mode conversion, connection formulae, and Budden tunneling. Applications to RF plasma heating, wave propagation in the ionosphere and laser-plasma interactions. Wave propagation in toroidal plasmas, and applications to ion cyclotron ICRF, electron cyclotron ECRH, and lower hybrid LHH wave heating. Quasi-linear theory and applications to RF current drive in tokamaks. Extensive discussion of relevant experimental observations.Staff",Graduate,Spring,,22.611 ,3-0-9,,,,,,,
8.641,Physics of High-Energy Plasmas I,"Not offered regularly; consult departmentPhysics of High-Energy Plasmas I and II address basic concepts of plasmas, with temperatures of thermonuclear interest, relevant to fusion research and astrophysics. Microscopic transport processes due to interparticle collisions and collective modes e.g., microinstabilities. Relevant macroscopic transport coefficients electrical resistivity, thermal conductivities, particle ""diffusion"". Runaway and slide-away regimes. Magnetic reconnection processes and their relevance to experimental observations. Radiation emission from inhomogeneous plasmas. Conditions for thermonuclear burning and ignition D-T and ""advanced"" fusion reactions, plasmas with polarized nuclei. Role of ""impurity"" nuclei. ""Finite-β"" pressure regimes and ballooning modes. Convective modes in configuration and velocity space. Trapped particle regimes. Nonlinear and explosive instabilities. Interaction of positive and negative energy modes. Each subject can be taken independently.Staff",Graduate,Fall,,22.611 ,3-0-9,,,,,,,
8.642,Physics of High-Energy Plasmas II,"Not offered regularly; consult departmentPhysics of High-Energy Plasmas I and II address basic concepts of plasmas, with temperatures of thermonuclear interest, relevant to fusion research and astrophysics. Microscopic transport processes due to interparticle collisions and collective modes e.g., microinstabilities. Relevant macroscopic transport coefficients electrical resistivity, thermal conductivities, particle ""diffusion"". Runaway and slide-away regimes. Magnetic reconnection processes and their relevance to experimental observations. Radiation emission from inhomogeneous plasmas. Conditions for thermonuclear burning and ignition D-T and ""advanced"" fusion reactions, plasmas with polarized nuclei. Role of ""impurity"" nuclei. ""Finite-β"" pressure regimes and ballooning modes. Convective modes in configuration and velocity space. Trapped particle regimes. Nonlinear and explosive instabilities. Interaction of positive and negative energy modes. Each subject can be taken independently.Staff",Graduate,Fall,,22.611 ,3-0-9,,,,,,,
8.670[J],Principles of Plasma Diagnostics,"Same subject as22.67[J]Introduction to the physical processes used to measure the properties of plasmas, especially fusion plasmas. Measurements of magnetic and electric fields, particle flux, refractive index, emission and scattering of electromagnetic waves and heavy particles; their use to deduce plasma parameters such as particle density, pressure, temperature, and velocity, and hence the plasma confinement properties. Discussion of practical examples and assessments of the accuracy and reliability of different techniques.Staff",Graduate,Fall,,22.611 ,4-4-4,,,,,,,
"8.681,",8.682 Selected Topics in Fluid and Plasma Physics,",Not offered regularly; consult departmentPresentation of topics of current interest, with content varying from year to year. Subject not routinely offered; given when interest is indicated.Staff",Graduate,Spring,,22.611 ,3-0-9,,,,,,,
Nuclear,and Particle Physics,"endendendendendendendendendendend8.872 Selected Topics in Theoretical Particle PhysicsSubject CancelledsPresents topics of current interest in theoretical particle physics, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Fall,,8.323 ,3-0-9,,,,,,,
8.701,Introduction to Nuclear and Particle Physics,"URL:http://web.mit.edu/physics/subjects/index.html+finalsThe phenomenology and experimental foundations of particle and nuclear physics; the fundamental forces and particles, composites. Interactions of particles with matter, and detectors. SU2, SU3, models of mesons and baryons. QED, weak interactions, parity violation, lepton-nucleon scattering, and structure functions. QCD, gluon field and color. W and Z fields, electro-weak unification, the CKM matrix. Nucleon-nucleon interactions, properties of nuclei, single- and collective- particle models. Electron and hadron interactions with nuclei. Relativistic heavy ion collisions, and transition to quark-gluon plasma.Textbooks Fall 2024",Graduate,Fall,,8.321 ,3-0-9,M. Williams,"TR1.30-3, 8-205",,,,,
8.711,Nuclear Physics,"Modern, advanced study in the experimental foundations and theoretical understanding of the structure of nuclei, beginning with the two- and three-nucleon problems. Basic nuclear properties, collective and single-particle motion, giant resonances, mean field models, interacting boson model. Nuclei far from stability, nuclear astrophysics, big-bang and stellar nucleosynthesis. Electron scattering: nucleon momentum distributions, scaling, olarization observables.  Parity-violating electron scattering. Neutrino physics.  Current results in relativistic heavy ion physics and hadronic physics. Frontiers and future facilities.Staff",Graduate,Spring,,8.321  8.701 ,4-0-8,,,,,,,
8.712,Advanced Topics in Nuclear Physics,",Not offered regularly; consult departmentSubject for experimentalists and theorists with rotation of the following topics: 1 Nuclear chromodynamics-- introduction to QCD, structure of nucleons, lattice QCD, phases of hadronic matter; and relativistic heavy ion collisions. 2 Medium-energy physics-- nuclear and nucleon structure and dynamics studied with medium- and high-energy probes neutrinos, photons, electrons, nucleons, pions, and kaons. Studies of weak and strong interactions.Staff",Graduate,Spring,,8.711 or permission of instructor ,3-0-9,,,,,,,
8.751[J],Quantum Technology and Devices,"Same subject as22.51[J]Examines the unique features of quantum theory to generate technologies with capabilities beyond any classical device. Introduces fundamental concepts in applied quantum mechanics, tools and applications of quantum technology, with a focus on quantum information processing beyond quantum computation. Includes discussion of quantum devices and experimental platforms drawn from active research in academia and industry. Students taking graduate version complete additional assignments.Staff",Graduate,Spring,,22.11 ,3-0-9,,,,,,,
"8.781,",8.782 Selected Topics in Nuclear Theory,",Not offered regularly; consult departmentPresents topics of current interest in nuclear structure and reaction theory, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,8.323 ,3-0-9,,,,,,,
8.811,Particle Physics,"sModern review of particles, interactions, and recent experiments. Experimental and analytical methods. QED, electroweak theory, and the Standard Model as tested in recent key experiments at ee and pp colliders. Mass generation, W, Z, and Higgs physics. Weak decays of mesons, including heavy flavors with QCD corrections. Mixing phenomena for K, D, B mesons and neutrinos. CP violation with results from B-factories. Future physics expectations: Higgs, SUSY, sub-structure as addressed by new experiments at the LHC collider.Textbooks Fall 2024",Graduate,Fall,,8.701 ,3-0-9,E. Smith,"MW1-2.30, 8-205",,,,,
8.812,Graduate Experimental Physics,"Not offered regularly; consult departmentProvides practical experience in particle detection with verification by Feynman calculations. Students perform three experiments; at least one requires actual construction following design. Topics include Compton effect, Fermi constant in muon decay, particle identification by time-of-flight, Cerenkov light, calorimeter response, tunnel effect in radioactive decays, angular distribution of cosmic rays, scattering, gamma-gamma nuclear correlations, and modern particle localization.Staff",Graduate,IAP,,8.701 ,1-8-3,,,,,,,
8.821,String Theory,Credit cannot also be received for8.251URL:http://web.mit.edu/physics/subjects/index.htmlsAn introduction to string theory. Basics of conformal field theory; light-cone and covariant quantization of the relativistic bosonic string; quantization and spectrum of supersymmetric 10-dimensional string theories; T-duality and D-branes; toroidal compactification and orbifolds; 11-dimensional supergravity and M-theory.  Meets with 8.251 when offered concurrently.No required or recommended textbooks,Graduate,Fall,,8.324 ,3-0-9,H. Liu,"MW EVE (4.30-6 PM), 4-265",,,,,
8.831,Supersymmetric Quantum Field Theories,"sTopics selected from the following: SUSY algebras and their particle representations; Weyl and Majorana spinors; Lagrangians of basic four-dimensional SUSY theories, both rigid SUSY and supergravity; supermultiplets of fields and superspace methods; renormalization properties, and the non-renormalization theorem; spontaneous breakdown of SUSY; and phenomenological SUSY theories. Some prior knowledge of Noether's theorem, derivation and use of Feynman rules, l-loop renormalization, and gauge theories is essential.Textbooks Fall 2024",Graduate,Fall,,,3-0-9,J. Thaler,"TR10.30-12, 36-112",,,,,
8.851,Effective Field Theory,"Credit cannot also be received for8.S851Covers the framework and tools of effective field theory, including: identifying degrees of freedom and symmetries; power counting expansions dimensional and otherwise; field redefinitions, bottom-up and top-down effective theories; fine-tuned effective theories; matching and Wilson coefficients; reparameterization invariance; and advanced renormalization group techniques.  Main examples are taken from particle and nuclear physics, including the Soft-Collinear Effective Theory.",Graduate,Spring,,8.324 ,3-0-9,I. Stewart,,,,,,
8.871,Selected Topics in Theoretical Particle Physics,"Presents topics of current interest in theoretical particle physics, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,8.323 ,3-0-9,,,,,,,
8.872,Selected Topics in Theoretical Particle Physics,"Subject CancelledsPresents topics of current interest in theoretical particle physics, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Fall,,8.323 ,3-0-9,,,,,,,
"8.881,",8.882 Selected Topics in Experimental Particle Physics,",Not offered regularly; consult departmentPresents topics of current interest in experimental particle physics, with content varying from year to year. Subject not routinely offered; given when sufficient interest is indicated.Staff",Graduate,Spring,,8.811 ,3-0-9,,,,,,,
Space,Physics and Astrophysics,endendendendendendendendendendendendendendendendendend,Graduate,,,,,,,,,,,
8.901,Astrophysics I,"Size and time scales. Historical astronomy. Astronomical instrumentation. Stars: spectra and classification. Stellar structure equations and survey of stellar evolution. Stellar oscillations. Degenerate and collapsed stars; radio pulsars. Interacting binary systems; accretion disks, x-ray sources. Gravitational lenses; dark matter. Interstellar medium: HII regions, supernova remnants, molecular clouds, dust; radiative transfer; Jeans' mass; star formation. High-energy astrophysics: Compton scattering, bremsstrahlung, synchrotron radiation, cosmic rays. Galactic stellar distributions and populations; Oort constants; Oort limit; and globular clusters.Staffendend8.914 Plasma Astrophysics IINot offered regularly; consult departmentFor students interested in space physics, astrophysics, and plasma physics in general. Magnetospheres of rotating magnetized planets, ordinary stars, neutron stars, and black holes. Pulsar models: processes for slowing down, particle acceleration, and radiation emission; accreting plasmas and x-ray stars; stellar winds; heliosphere and solar wind- relevant magnetic field configuration, measured particle distribution in velocity space and induced collective modes; stability of the current sheet and collisionless processes for magnetic reconnection; theory of collisionless shocks; solitons; Ferroaro-Rosenbluth sheet; solar flare models; heating processes of the solar corona; Earth's magnetosphere auroral phenomena and their interpretation, bowshock, magnetotail, trapped particle effects; relationship between gravitational galactic plasmas and electromagnetic plasmas. 8.913 deals with heliospheric, 8.914 with extra-heliospheric plasmas.Staff",Graduate,Spring,,,3-0-9,,,,,,,
8.902,Astrophysics II,"URL:http://web.mit.edu/physics/subjects/index.htmlsGalactic dynamics: potential theory, orbits, collisionless Boltzmann equation, etc. Galaxy interactions. Groups and clusters; dark matter. Intergalactic medium; x-ray clusters. Active galactic nuclei: unified models, black hole accretion, radio and optical jets, etc. Homogeneity and isotropy, redshift, galaxy distance ladder. Newtonian cosmology. Roberston-Walker models and cosmography. Early universe, primordial nucleosynthesis, recombination. Cosmic microwave background radiation. Large-scale structure, galaxy formation.Textbooks Fall 2024",Graduate,Fall,,8.901 ,3-0-9,M. Vogelsberger,"TR11-12.30, 4-261",,,,,
8.913,Plasma Astrophysics I,"Not offered regularly; consult departmentFor students interested in space physics, astrophysics, and plasma physics in general. Magnetospheres of rotating magnetized planets, ordinary stars, neutron stars, and black holes. Pulsar models: processes for slowing down, particle acceleration, and radiation emission; accreting plasmas and x-ray stars; stellar winds; heliosphere and solar wind- relevant magnetic field configuration, measured particle distribution in velocity space and induced collective modes; stability of the current sheet and collisionless processes for magnetic reconnection; theory of collisionless shocks; solitons; Ferroaro-Rosenbluth sheet; solar flare models; heating processes of the solar corona; Earth's magnetosphere auroral phenomena and their interpretation, bowshock, magnetotail, trapped particle effects; relationship between gravitational galactic plasmas and electromagnetic plasmas. 8.913 deals with heliospheric, 8.914 with extra-heliospheric plasmas.Staff",Graduate,Fall,,,3-0-9,,,,,,,
8.914,Plasma Astrophysics II,"Not offered regularly; consult departmentFor students interested in space physics, astrophysics, and plasma physics in general. Magnetospheres of rotating magnetized planets, ordinary stars, neutron stars, and black holes. Pulsar models: processes for slowing down, particle acceleration, and radiation emission; accreting plasmas and x-ray stars; stellar winds; heliosphere and solar wind- relevant magnetic field configuration, measured particle distribution in velocity space and induced collective modes; stability of the current sheet and collisionless processes for magnetic reconnection; theory of collisionless shocks; solitons; Ferroaro-Rosenbluth sheet; solar flare models; heating processes of the solar corona; Earth's magnetosphere auroral phenomena and their interpretation, bowshock, magnetotail, trapped particle effects; relationship between gravitational galactic plasmas and electromagnetic plasmas. 8.913 deals with heliospheric, 8.914 with extra-heliospheric plasmas.Staff",Graduate,Spring,,,3-0-9,,,,,,,
