Course Number,Course Title,Description,Subject meets with,Prerequisites,Class Type (U/G),Semester,Credit Structure,Credit Info,Instructor,Same subject as,Years offered
1.993-1.995,Special Undergraduate Studies in Civil and Environmental Engineering," Can be repeated for credit Undergraduate subjects taught experimentally; special subjects offered by visiting faculty; seminars on topics of current interest. 1.995 is graded. Other numbers are taught P/D/F Information: 0. S, Madsen. 1.999 Undergraduate Studies in Civil and Environmental Engineering Prereq.. Can be repeated for credit Individual study, research, or laboratory investigations under faculty supervision. Descriptions of Subjects 313 Mechanical Engineering For degree requirements, see listing in Chapter VII under the School of Engineering. 2.UR Undergraduate Research in",,Permission of instructor,U,"Fall,",Units arranged,,Information: O. S. Madsen.,,
2.UR,Undergraduate Research in Mechanical Engineering," Can be repeated for credit 2.URG Undergraduate Research in Mechanical Engineering Can be repeated for credit Individual study, research, or laboratory investigations under faculty supervision, including individual participation in an ongoing research project. See projects listing in Undergraduate Office, 1-104, for guidance. 2.001 Mechanics and Materials I",,,U,"Fall,",Units arranged,,Coordinator: D. Rowell.,,
2.001,Mechanics and Materials I (Revised Units)," Introduction to statics and the mechanics of deformable solids. Emphasis on the three basic principles of equilibrium, geometric compatibility, and material behavior. Stress and its relation to force and moment; strain and its relation to displacement; linear elasticity with thermal expansion. Failure modes. Application to simple engineering structures such as rods, shafts, beams, and trusses. Application to design. 2.002 Mechanics and Materials 11",,"8.01, 18.02",U,"Fall,",3-1-5,REST,"R. Abeyaratne, F. Feng, D. M. Parks",,
2.002,Mechanics and Materials 11 (Revised Units)," Introduces mechanical behavior of engineering materials, and the use of materials in mechanical design. Emphasizes the fundamentals of mechanical behavior of materials, as well as design with materials. Major topics: elasticity, plasticity, limit analysis, fatigue, fracture, and composites. Materials selection. Laboratory experiments involving projects related to materials in mechanical design. 2.003 Systems Modeling and Dynamics I",,2.001,U,"Fall,",3-2-7,,"L. Anand, D. M. Parks, M. C. Boyce",,
2.003,"Systems Modeling and Dynamics I Prereq.. 8.01,18.02"," Introduction to physical system dynamics, emphasizing the common dynamic behavior of mechanical, electrical, fluid, and thermal devices and how they interact. Unified mathematical modeling using linear and non-linear lumped multiport elements. Introduction to matrix methods and computer analysis of system dynamics. Concept of state and formulation of state equations. Dynamic response and stability of linear systems. Frequency response functions, pole-zero configurations, and their interpretation. Generalized impedance and source equivalents. Extensive use of engineering examples. 2.004J Systems Modeling and Dynamics I1",,,U,"Fall,",4-0-8,REST,D. Rowell,,
2.004J,Systems Modeling and Dynamics I1 (Revised Units), Introduction to dynamics and vibration of lumped-parameter models of mechanical systems. Distinction between force-momentum and work-energy formulations. Three-dimensional particle kinematics. Newton-Euler equations. Lagrange's equations. Historical citations. Issues of perspective including relationships of dynamics to design.,,2.001 and 2.003 or 13.015,U,"Fall,",2.005,Thermal-Fluids Engineering I,"J. H. Williams, Jr., J. K. Vandiver","2.03J, 13.013J",
2.005,Thermal-Fluids Engineering I," Equilibrium thermodynamics and its application to engineering systems involving energy exchange and conversion. Concepts of work, heat, and internal energy; The First Law. Reversibility, entropy, and The Second Law. Thermodynamics of state of pure substances. Applications to processes and power cycles. Modes of heat transfer. Conduction, applications using lumped capacity and thermal resistance concepts, finned surfaces. Elements of radiation.",,"8.02, 18.03",U,"Fall,",2.006,Thermal-Fluids Engineering 11,"J. Brisson, J. Heywood",,
2.006,Thermal-Fluids Engineering 11," Mechanics of incompressible flow in engineering systems. Hydrostatics. Mass conservation. Inviscid flow analysis and Bernoulli equation. Linear and angular momentum. Application to fluid machines. Analysis of laminar viscous flow in channels and passages. Turbulence. Head loss in pipes. Boundary layers, drag. Forced and natural convective heat transfer in laminar and turbulent flow in channels and over surfaces. Heat exchangers. 2.007 Design and Manufacturing I",,"2.005, 18.03",U,"Fall,",4-0-8,,R. Kamm,,
2.007,Design and Manufacturing I," Develops students' competence and self-confidence as designers. Emphasis on the creative design process for individuals. Synthesis, analysis, and robustness as complements. Subject relies on active learning through exercises in lecture and laboratory. A major designand-build project is featured. Lecture topics include idea generation, estimation, concept selection, visual thinking and communication, kinematics of mechanisms, design for manufacturing, and designer's professional responsibilities. Several manufacturing techniques featured in 2.008 are used in fabrication of designs. 2.008 Design and Manufacturing I",,2.670,U,Spring,3-3-6,,A. H. Slocum,,
2.008,Design and Manufacturing I," Integration of design, engineering, and management disciplines and practices for analysis and design of manufacturing enterprises. Emphasis is on the physics and stochastic nature of manufacturing processes and systems, and their effects on quality, rate, cost, and flexibility. Topics include process physics and control, design for manufacturing, and manufacturing systems. Group project requires design and fabrication of parts using mass-production and assembly methods to produce a product in quantity. Six units may be applied to the General Institute Lab Requirement. 314 Chapter Vill School of Engineering Course 2 Department of Mechanical Engineering Course 2 2.010 Control System Principles",,"2.001, 2.003, 2.007, 2.005",U,"Fall,",3-5-4,Institute LAB,"J.-H. Chun, E. M. Sachs",,
2.010,Control System Principles (New)," Introduction to feedback control of physical system behavior. State-space and functional descriptions of linear and nonlinear systems. Feedback, stability, and robustness. Poles and zeroes. Transient response shaping. Natural frequencies, normal coordinates, and modes. Full-state and output feedback. Frequency response methods. Root locus. Bode plots. Stability margins. Design of PID controllers and compensators. Introduction to digital control. Extensive case studies emphasizing computer analysis and design of electromechanical, pneumatic, hydraulic, and electronic control systems. Mechanics, Acoustics Dynamics, and 2.03J Dynamics",,"2.003, 18.03, 2.004",U,"Fall,",3-2-4,,A. M. Annaswamy,,
2.03J,Dynamics, See description under subject 2.004J. 2.032 Dynamics,,"2.001, 2.004, and 2.02 or 2.003, 18.03",,,4-0-8,,"J. H. Williams, Jr., J. K. Vandiver","2.004J, 13.013,J","Acad Year 1996-97: U Fall, Spring Acad Year 1997-98: Not offered"
2.032,Dynamics," Momentum principles and energy principles. Lagrange's equations, Hamilton's principle. Applications to mechanical systems including gyroscopic effects. Study of steady motions and nature of small deviations therefrom. Natural modes and natural frequencies for continuous and lumped parameter systems. Forced vibrations. Dynamic stability theory. Causes of instability. 2.034 Nonlinear Dynamics",,2.03J,G,Fall,3-0-9,H-LEVEL Grad Credit,"J. H. Williams, Jr.",,
2.034,Nonlinear Dynamics," A unified treatment of nonlinear phenomena in the dynamics of discrete and continuous systems. Qualitative methods of analysis, phase plane techniques. Quantitative analysis of weakly nonlinear systems in free and forced vibrations; perturbation methods, nonlinear resonances, self-excited oscillations, lock-in phenomena. Introduction to nonlinear stability and bifurcation theory, chaotic behavior, nonlinear wave propagation, solitons. Applications are made to mechanical, fluid, electrical, and flow-structure interaction problems. 2.05 Kinematics and Dynamics of",,2.032,,,3-0-9,H-LEVEL Grad Credit,T. R. Akylas,,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
2.05,Kinematics and Dynamics of Mechanisms and Manipulators," Analyzes kinematic and dynamic characteristics of planar and spatial mechanisms, including machines and robotic manipulators. Use of vector, graphical, and 4 by 4 matrix methods for kinematic analysis. An introduction to graphical and computer methods for kinematic synthesis of mechanisms. Methods for dynamic analysis of mechanisms, and the use of digital simulation techniques. Systems include rigid and flexible elements and active control systems. Applications from industrial machine systems and robotic manipulators. 2.06J Mechanical Vibration",,2.03J,G,Fall,3-0-9,H-LEVEL Grad Credit,S. Dubowsky,,
2.06J,Mechanical Vibration (Revised Units)," Elective unit distribution: Advanced disciplinary, 9; Lab, 3. See description under subject 13.80J. 2.060J Principles of Acoustics",,2.004J,U,Spring,3-1-8,,"F. Feng, J. K. Vandiver","13.80J, 13.801",
2.060J,Principles of Acoustics," With subject 2.063J, forms a two-term sequence of advanced acoustics; to be taken in either order. Acoustics of fluids, sources of sound, radiation, diffraction and scattering. Energy density and intensity, radiation impedance and directivity. Reciprocity. Staff 2.061 Random Vibration Description of stochastic processes. Impulse response and frequency response of linear time-invariant dynamic systems. Correlations and spectra of stationary response. Crossing rates, peaks, and envelopes. Failure under random loading. Poisson pulse processes. Measurement, identification, and response problems. Coherence. Space-time correlations and cross-spectra. Digital data processing. Spectral analysis. Applications to vehicles and structures subjected to wide-band random excitation. 2.062 Wave Propagation",,"2.03J, 18.075",G,Fall,3-0-9,H-LEVEL Grad Credit,F. Feng,13.81J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.062,Wave Propagation," Wave concepts in applied mechanics with examples chosen from elasticity, acoustics, geophysics, hydrodynamics, and related subjects. Plane wave theory, dispersion, phase and group velocities, wave impedance, energy density and intensity. Theory of characteristics. Reflection and refraction, wave guides, and boundary waves. WKB method, Green's law, and wave action. Generation, transmission, and reception of waves. Water waves, Rayleigh waves, waves in periodic structures. 2.063J Sound and Structural Vibration",,2.03J,,,3-0-9,H-LEVEL Grad Credit,T. R. Akylas,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.063J,Sound and Structural Vibration," With subject 2.060J, forms a two-term sequence in acoustics at advanced level; to be taken in either order. Transmission of vibration in structures and interaction with sound fields. Dynamics of sound fields and longitudinal, shear, and flexural vibrations. Normal modes, phase and group velocity, energy decay. Radiation impedance and input and transfer mobility of structural elements. Statistical energy analysis, reciprocity, energy sharing between structures and sound fields. Staff 2.067J Structural Acoustics This advanced-level subject deals with various topics in the transmission of vibrational energy through structures, and the interaction of structural vibrations with surrounding and contained fluid regions. Faculty members will lead discussions of these topics using published papers and research reports. Topics will vary depending on research activities in the Structural Acoustics Program. A good background in dynamics, applied mathematics, and structural mechanics will be assumed. Background courses in acoustics and structural wave propagation are recommended. Staff 2.072 Mechanics of Continuous Media Principles and applications of continuum mechanics. Kinematics of deformation. Thermomechanical conservation laws. Stress and strain measures. Constitutive equations. Solution of some basic problems for various materials as relevant in materials science, geomechanics, fluid dynamics, and structural analysis. Inherently nonlinear phenomena in continuum mechanics. Descriptions of Subjects 315 School of Engineering",,Permission of instructor,G,Spring,2.073,Solid Mechanics -,R. Abeyaratne,13.83J,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
2.073,Solid Mechanics - Plasticity and Inelastic Deformation, Physical basis of plastic/inelastic deformation of solids. Continuum constitutive models for small and large deformation of elastic(visco)plastic solids. Analytical and numerical solution of selected boundary value problems. Applications to deformation processing of metals. 2.083 Applied Elasticity,,2.30,G,Fall,3-0-9,H-LEVEL Grad Credit,"L. Anand, D. M. Parks, M. C. Boyce",,
2.083,Applied Elasticity," Introduction to the theory and applications of elastic solids. Review strain, stress, and stressstrain law. Several of the following topics: Anisotropic material behavior. Piezoelectric materials. Effective properties of composites. Structural mechanics of beams and plates. Energy methods for structures. Two-dimensional problems. Stress concentration at cavities, concentrated loads, cracks, and dislocations. Variational methods and their applications; introduction to the finite element method. Introduction to wave propagation. 2.084J Structural Mechanics in Nuclear",,"2.30 or 2.002, 18.03",G,Fall,3-0-9,H-LEVEL Grad Credit,"J. H. Williams, Jr., R. Abeyaratne",,
2.084J,Structural Mechanics in Nuclear Power Technology, See description under subject 22.314J. 2.093 Computer Methods in Dynamics,,Permission of instructor,,,3-0-9,H-LEVEL Grad Credit,"J. E. Meyer, O. Buyukozturk","22.314J, 1.56J, 13.14J",Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.093,Computer Methods in Dynamics," Formulation of finite element methods for analysis of dynamic problems in solids, structures, fluid mechanics, and heat transfer. Computer calculation of matrices and numerical solution of equilibrium equations by direct integration and mode superposition. Effective eigensolution techniques for calculation of frequencies and mode shapes. Digital computer coding techniques and use of an existing general purpose finite element analysis program. Modeling of problems and interpretation of numerical results. 2.094 Finite Element Analysis of Solids and",,"2.03J, 18.075",G,Spring,3-0-9,H-LEVEL Grad Credit,K. J. Bathe,,
2.094,Finite Element Analysis of Solids and Fluids," Basic principles of continuum mechanics and finite element methods, modern application to solution of practical problems in solid, structural, and fluid mechanics, heat and mass transfer, other field problems. Kinematics of deformation, strain and stress measures, constitutive relations, conservation laws, virtual work, and variational principles. Discretization of governing equations using finite element methods. Solution of central problems using existing computer programs. System Dynamics and Control 2.100 Information and Probability",,"2.01 or 2.001, 18.075",,,3-0-9,H-LEVEL Grad Credit,K. J. Bathe,,Acad Year 1996-97: G Fall Acad Year 1997-98: Not offered
2.100,Information and Probability (New)," Robots, gas turbines, and toasters share a common feature: they have to get and process information in order to function. Subject provides an introduction to information theory as applied to problems in control, design, and manufacturing. Topics treated include probability and statistics, channel capacity and communications, the characterization and control of noisy systems, the generation and propagation of errors in manufacturing, and the mechanics and design of information-processing devices. Elective unit distribution: advanced disciplinary, 9; design, 3. 2.101 Computer Models of Physical and",,2.003,U,Fall,3-0-9,,S. Lloyd,,
2.101,Computer Models of Physical and Engineering Systems, Engineering School-Wide Elective Subject. Description given at end of this chapter in SWE section on page 562. 2.141 Modeling and Simulation of Dynamic,,"18.03 or 18.034, 1.00",U,Spring,3-1-8,,F. Penia-Mora,,
2.141,Modeling and Simulation of Dynamic Systems," Mathematical modeling of complex engineering systems at a level of detail compatible with the design and implementation of modern control systems. Wave-like and diffusive energy transmission systems. Multiport energy storing fields and dissipative fields; consequences of symmetry and asymmetry. Nonlinear mechanics and canonical transformation theory. Examples will include mechanisms, electromechanical transducers, electronic systems, fluid systems, thermal systems. compressible flow processes, chemical processes. 2.151 Advanced System Dynamics and",,2.151,G,Fall,3-0-9,H-LEVEL Grad Credit,N. Hogan,,
2.151,Advanced System Dynamics and Control," Analytical and graphical descriptions of statedetermined dynamic physical systems; time and frequency domain representations; system characteristics controllability, observability, stability; linear and nonlinear system responses. Modification of system characteristics using feedback. State observers, Kalman filters. Modeling/performance trade-offs in control system design. Emphasis on application of techniques to physical systems. 2.152 Nonlinear Control System Design",,"2.02 or 2.003, 2.14, 18.06",G,"Fall,",3-0-9,H-LEVEL Grad Credit,"K. Youcef-Toumi, N. Hogan, D. Rowell",,
2.152,Nonlinear Control System Design," Introduction to applied nonlinear control. Nonlinear stability theory, Lyapunov analysis, Barbalat's lemma. Feedback linearization, internal dynamics. Sliding surfaces. Adaptive nonlinear control. Stable neural network control, multiresolution analysis. Emphasis on applications to physical systems (robots, aircraft, spacecraft, underwater vehicles). 2.153 Adaptive Control: Theory and",,2.151 or 6.241 or equivalent,G,Spring,3-0-9,H-LEVEL Grad Credit,J.-J. E. Slotine,,
2.153,Adaptive Control: Theory and Applications," A graduate subject on the basic principles of adaptive controllers. Topics include adaptive controllers for firstand second-order systems, strictly positive real-transfer functions, persistent excitation, stability of general adaptive systems, minimum variance and LO-controllers, n-step ahead predictive controllers, robustness properties, adaptive control of nonlinear systems, and connections to feedback linearization, gain-scheduling, and neural networks. Laboratory exercises pertain to the implementation of adaptive PID controllers in mechanical systems. 316 Chapter Vill Department of Mechanical Engineering Course 2 2.156J Dynamics of Nonlinear Systems",,2.151,G,Fall,3-2-7,,A. M. Annaswamy,,
2.156J,Dynamics of Nonlinear Systems, Alternate years. See description under subject 6.243J. nath 2.157J Design and Implementation of,,"18.100, 6.241",,,3-0-9,H-LEVEL Grad Credit,"N. Hogan, J. L. Wyatt, Jr., M. Dahleh, R. Ram-","6.243J, 16.337J",Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
2.157J,Design and Implementation of Computer-Aided Engineering Systems, Overview of existing CAE systems; architecture of high-performance graphic displays in engineering workstations; orthographic and perspective display transformations; parametric representation of curves and surfaces; elementary differential geometry; interactive graphics; bicubic surface patches; image generation; NC tool paths; solid modeling; advanced research topics; project management for software development. Group projects emphasize CAE system development. Programming proficiency in C required. 2.158J Computational Geometry,,Permission of instructor,G,Fall,3-2-7,H-LEVEL Grad Credit,"D. C. Gossard, N. M. Patrikalakis","1 .1 27J, 13.471 J",
2.158J,Computational Geometry, See description under subject 13.472J. 2.159J Computer Aided Engineering I,,13.471J/2.157J or 6.837,,,3-0-9,H-LEVEL Grad Credit,"N. M. Patrikalakis, D. C. Gossard","13.472J, 1 .128J",Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.159J,Computer Aided Engineering I, See description under subject 1 .124J. 2.160 Intelligent Control and Sensing,,1.00 and knowledge of C,G,Fall,3-3-6,H-LEVEL Grad Credit,Jn. R. Williams,"1 .124J, 13.470J",
2.160,Intelligent Control and Sensing," Introduces techniques of learning, adaptation, and high-level control. Neural networks; associative memory, multi-layer neural nets, error back propagation, recurrent nets, reinforcement learning, and function approximation using radial basis functions. Introduction to fuzzy sets, fuzzy linguistic control, framebased systems, and expert control systems. Applications to robots, vehicles, manufacturing processes, and various physical plants. Computer laboratories and term projects. Programming experience is recommended. 2.165 Robotics and Mechatronics",,2.151 or equivalent,G,Fall,3-2-7,H-LEVEL Grad Credit,"H. Asada, J.-J. E. Slotine",,
2.165,Robotics and Mechatronics," structor Dynamic analysis, design, and control of robots and electromechanical systems. Kinematics and dynamics of multi-input, multioutput rigid body systems. Inverse kinematics, inverse dynamics, and computed torque control. Adaptive and learning control. Force feedback, and visual servoing. Programming, task strategy planning, and teleoperation. Actuators, sensors, and component technology. Integrated mechanism/control design; modeling and control of flexible robots and structures. Digital implementation of control algorithms; experiments using table-top robots; term projects; and laboratory demonstrations. 2.171 Analysis and Design of Digital",,2.151 and 2.004 or permission of in-,G,Spring,3-2-7,H-LEVEL Grad Credit,"H. Asada, J.-J. E. Slotine, K. Youcef-Toumi",,
2.171,Analysis and Design of Digital Control Systems," A comprehensive introduction to control system synthesis in which the digital computer plays a major role, reinforced with hands-on laboratory experience. Covers elements of realtime computer architecture; input-output interfaces and data converters; analysis and synthesis of sampled-data control systems using classical and modern (state-space) methods; analysis of trade-offs in control algorithms for computation speed and quantization effects. Laboratory projects emphasize practical digital servo interfacing and implementation problems with timing, noise, nonlinear devices. 2.181J Human Factors Engineering",,"2.010, 2.151",G,Spring,3-3-6,H-LEVEL Grad Credit,"D. Trumper, D. Rowell",,
2.181J,Human Factors Engineering, See description under subject 16.453J. 2.182J Human Supervisory Control of,"16.453J, 16.400",2.010 or 16.060,G,Fall,3-0-9,H-LEVEL Grad Credit,"T. B. Sheridan, L. R. Young",,
2.182J,Human Supervisory Control of Telerobots and Flight Vehicles," Principles of supervisory control and telerobotics. Different levels of automation are discussed, as well as the allocation of roles and authority between humans and machines. Human-vehicle interface design in highly automated systems. Decision aiding. Tradeoffs between human control and human monitoring. Automated alerting systems and human intervention in automatic operation. Enhanced human interface technologies such as virtual presence. Performance, optimization, and social implications of the human-automation system. Examples from aerospace, ground, and undersea vehicles, robotics, and industrial systems. 2.183 Biomechanics and Neural Control of",,Permission of instructor,G,Spring,3-1-8,H-LEVEL Grad Credit,"T. B. Sheridan, R. J. Hansman",16.422J,
2.183,Biomechanics and Neural Control of Movement," Normal and pathological sensory-motor behavior of biological systems emerges from a complex interplay of biomechanical and neural factors. Experimentally supported theories of biological motor control, emphasizing manipulation and tool use, are critiqued and compared with robotic approaches. Topics include hierarchical organization, intermittency, optimization theories, kinematic redundancy, neuromuscular dynamics and segmental feedback, ""equilibrium-point"" theories, instabilities in contact tasks, co-contraction strategies, and impedance control. 2.192 Engineering Systems Analysis",,Permission of instructor,,,3-0-9,H-LEVEL Grad Credit,N. Hogan,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.192,Engineering Systems Analysis, Engineering School-Wide Elective Subject. Description given at end of this chapter in SWE section on page 562. Fluid Mechanics and Combustion 2.25 Advanced Fluid Mechanics,,Permission of instructor,G,Fall,3-0-6,H-LEVEL Grad Credit,"R. de Neufville, J. P. Clark, F. Field",,
2.25,Advanced Fluid Mechanics," Survey of principal concepts and methods of fluid dynamics. Mass conservation, momentum and energy equations for continua. Surface tension. Navier-Stokes equations for viscous flows. Similarity and dimensional analysis. Lubrication theory. Boundary layers and separation. Circulation and vorticity theorems. Potential flow. Introduction to turbulence. Lift and drag. 2.273 Turbulent Flow and Transport",,2.006; 18.075 or 18.085,G,Fall,4-0-8,H-LEVEL Grad Credit,A. A. Sonin,,
2.273,Turbulent Flow and Transport," Turbulent flows, with emphasis on engineering methods. Governing equations for momentum, energy, and species transfer. Turbulence: its production, dissipation, and scaling laws. Averaged (Reynolds) equations for momentum, energy, and species transfer. Simple closure approaches for free and bounded turbulent shear flows: jets, pipe and channel flows, boundary layers, buoyant plumes and thermals, dispersion problems, etc., including heat and species transport as well as flow fields. Introduction to more complex closure schemes and statistical methods in turbulence. Descriptions of Subjects 317 School of Engineering 2.274 Computational Fluid Dynamics",,2.25,G,Spring,3-0-9,H-LEVEL Grad Credit,A. A. Sonin,,
2.274,Computational Fluid Dynamics," Modern treatment of finite element methods for incompressible viscous fluid flows. Formulation, theoretical analysis, implementation, and application of discretizations and direct/iterative solvers for elliptic, Stokes, convection-diffusion, and Navier-Stokes equations. Finite-difference/finite-element treatment of mixed initial/boundary value problems. Computer assignments requiring programming. 2.277 Biomedical Fluid Mechanics",,Permission of instructor,,,3-0-9,H-LEVEL Grad Credit,A. T. Patera,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Fall
2.277,Biomedical Fluid Mechanics," Engineering approach to the function of circulatory and respiratory systems and to other problems in physiology involving fluid dynamics. Reviews relevant anatomy and physiology emphasizing quantitative considerations. Presents and discusses mathematical or engineering models in relation to physiological phenomena they are intended to simulate. Directed to graduate students in engineering and science, but open to medical students and undergraduates with the permission of the instructor. 2.280 Fundamentals and Modeling in",,2.006,G,Spring,3-0-9,H-LEVEL Grad Credit,"C. F Dewey, R. D. Kamm",,
2.280,Fundamentals and Modeling in Combustion," Fundamentals and modeling of physical gas dynamics and combustion using analytical and numerical methods. Conservation equations of reacting flows. Chemical thermodynamics and kinetics. Non-equilibrium flow. Detonation and boundary layers. Ignition, flammability, and extinction. Premixed and diffusion flames. Combustion instabilities. Supersonic combustion. Turbulent combustion. Fire, safety, and environmental impact. 2.29J Air Pollution Control",,"2.005, 2.006",,,3-0-9,H-LEVEL Grad Credit,A. F Ghoniem,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.29J,Air Pollution Control, See description under subject 10.571J. Materials (See also listings under Polymers and Fibers.) 2.30 Mechanical Behavior of Materials,,Permission of instructor,G,Spring,3-0-9,H-LEVEL Grad Credit,G. J. McRae,10.571J,
2.30,Mechanical Behavior of Materials (Revised Units)," Introduces mechanical behavior of engineering materials, and the use of materials in mechanical design. Emphasizes both the fundamentals of mechanical behavior of materials as well as design with materials. Major topics: elasticity, plasticity, limit analysis, fatigue, fracture, and composites. Materials selection. Laboratory experiments involving projects related to materials in mechanical design. Limited enrollment. 2.302 Physics of Inelastic Deformation of",,2.001,U,Fall,3-2-10,,"L. Anand, D. M. Parks, M. C. Boyce",,
2.302,Physics of Inelastic Deformation of Solids," Rate mechanisms in crystal plasticity, kinetics and dynamics of slip, superposition of flow stress mechanisms. Inelastic deformation in non-metals, visco-plasticity of metallic, inorganic, and polymeric glasses; plasticity of crystalline polymers; statistical theory of elastomeric behavior. Macro-plasticity in polycrystalline metals and in polymers. Strain hardening and recovery. Macroscopic threedimensional constitutive relations for inelastic deformation usable in computational mechanics. Alternate years. 2.303 Micro Mechanisms of Fracture",,2.30 or 2.002 or 2.305,,,3-0-9,H-LEVEL Grad Credit,A. S. Argon,,Acad Year 1996-97: Not offered Acad Year 1997-98: G Spring
2.303,Micro Mechanisms of Fracture, Fundamental crack tip solutions. Cohesive strength of pure solids and interfaces. Microcrack initiation. Brittle fracture in tension and compression. Static fatigue. Toughening of brittle solids by crack tip shielding and trapping or bridging. Ductile fracture by plastic cavitation. Intergranular fracture at elevated temperatures. Brittle to ductile transitions in fracture. Fracture under cyclic loading. Fracture of composites. Fracture along interfaces. Examples drawn from all prominent structural solids. Alternate years. 2.305 Advanced Mechanical Behavior of,,2.30 or 2.002 or 2.305,,,3-0-9,H-LEVEL Grad Credit,A. S. Argon,,Acad Year 1996-97: G Spring Acad Year 1997-98: Not offered
2.305,Advanced Mechanical Behavior of Materials," Fundamentals of the mechanical behavior of engineering materials and their uses in structural and design-related applications is presented, starting from a mechanistic point of view to arrive at phenomenological forms of constitutive behavior for deformation and fracture. Problems involving elasticity, plasticity, creep, visco-elasticity, and monotonic and cyclic fracture are discussed, including applications to material processing. 2.306 Dislocations and Mechanical",,"2.001, 3.091",G,Fall,3-0-9,H-LEVEL Grad Credit,"A. S. Argon, M. C. Boyce",,
2.306,Dislocations and Mechanical Properties of Crystalline Solids," Derivation of properties of both straight and curved dislocations from elasticity. Interaction of dislocations with external stresses, with each other, with free surfaces, interfaces, and cracks. Dislocations in specific crystal structures: stress fields, line energies, line tension. Kinematics of dislocation glide and climb. Dynamics of moving dislocations. Interaction of dislocations with point defects and climb. Dislocation multiplication. Athermal mechanisms of strain hardening in both homogeneous and heterogeneous crystals. 2.31 Finite Element Analysis in Computer",,"2.30 or 2.002, 3.091",,,3-0-9,H-LEVEL Grad Credit,A. S. Argon,,Acad Year 1996-97: G Fall Acad Year 1997-98: Not offered
2.31,Finite Element Analysis in Computer Aided Mechanical Design (New)," Focuses on the role of finite element analysis in computer aided mechanical design. Introduction to the finite element method for problems involving elastic, thermo-elastic, and elasticplastic material behavior together with stiffness, strength and toughness-related material properties which limit mechanical design. Approximations inherent in numerical analyses discussed and the physical interpretations of the results emphasized. Projects emphasize the various iterative loops between the different phases of the ""design/analysis/manufacture/test"" philosophy of mechanical design. Elective unit distribution: Advanced disciplinary, 6; Design, 3; Lab, 3. 318 Chapter Vill Department of Mechanical Engineering Course 2 Thermodynamics and Statistical Mechanics 2.41J Thermal Power Engineering",,"2.001, 2.002",U,Spring,3-3-6,,"M. C. Boyce, L. Anand, D. M. Parks",,
2.41J,Thermal Power Engineering," Examines current and future thermal power systems. Introduction to combustion and the design of turbomachinery. Analyses of various power plants including Rankine, Brayton, Otto, Diesel, and refrigerating systems. Applications include land-based and marine power plants. Consideration of pollution and environmental issues. 2.45J Fundamentals of Energy in Buildings",,2.005,U,Spring,3-0-9,,"E. G. Cravalho, A. D. Carmichael",13.25J,
2.45J,Fundamentals of Energy in Buildings, See description under subject 4.42J. 2.451J General Thermodynamics,,"8.02, 18.02",U,Fall,3-0-9,REST,L. R. Glicksman,"4.42J, 1.42J",
2.451J,General Thermodynamics," General foundations of thermodynamics valid for small and large systems, and equilibrium and nonequilibrium states. Definitions of work, energy, stable equilibrium, available energy, entropy, thermodynamic potential, and interactions other than work (nonwork, heat, mass transfer). Applications to properties of materials, bulk flow, energy conversion, chemical equilibrium, combustion, and industrial manufacturing. 2.46J Analysis and Design of Heating,",,Permission of instructor,G,Fall,3-0-9,H-LEVEL Grad Credit,J. L. Smith,22.571J,
2.46J,"Analysis and Design of Heating, Ventilating, and Air Conditioning Systems (New)"," Explores the fundamentals of heating, ventilating, and air-conditioning (HVAC) systems. Discussion of psychrometrics, air conditioning processes, thermal comfort, indoor air quality and outdoor design conditions; concentration on the calculation of heating and cooling load in order to size suitable HVAC equipment; estimation of energy consumption of the HVAC equipment. Introduces both manual and computer methods. One site visit. Heat and Mass Transfer 2.51 Heat and Mass Transfer Engineering",,"2.005, 2.51",G,Fall,3-0-9,H-LEVEL Grad Credit,Q. Chen,4.427J,
2.51,Heat and Mass Transfer Engineering," Analysis, modeling, and design of heat and mass transfer processes in manufacturing, machinery, energy production, and energy management technologies. Heat conduction in solids: steady and transient states, finned surfaces, numerical simulation tools. Heat transfer associated with laminar and turbulent flow of fluids in free and forced convection. Heat transfer in boiling and condensation. Heat exchanger design, including enhanced surface selection and pressure loss evaluation. Mass transfer at low rates: evaporation, wet-bulb temperature, catalysis. Students complete a creative design project on a problem taken from industry. Elective unit distribution: Advanced disciplinary, 9; Design, 3. 2.54 Heat Transfer",,2.006,U,"Fall,",3-0-9,,"J. H. Lienhard, L. R. Glicksman, B. B. Mikic",,
2.54,Heat Transfer," Fundamentals of conduction, radiation of heat, and effects of convection, with applications to problems arising in practice. Primarily for selected officers of US Navy and Coast Guard. 2.55 Advanced Heat and Mass Transfer",,,G,Spring,3-0-3,,B. B. Mikid,,
