Number,Title,Description,URL
CAS AR 795,"The Politics of the Past: Archaeology, Museums, and Identity","Undergraduate Prerequisites: graduate standing. - Historical exploration of the interplay among political/nationalistic pressures and the design, implementation, and interpretation of archaeological research and its public presentation through publications, museum exhibitions, and international expositions. Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Ethical Reasoning, Global Citizenship and Intercultural Literacy.",/academics/cas/courses/cas-ar-795/
CAS AR 901,Directed Research in Classical Archaeology,Graduate-level directed research in classical archaeology.,/academics/cas/courses/cas-ar-901/
CAS AR 903,Directed Research in New World Historical Archaeology,Undergraduate Prerequisites: graduate standing. - Graduate-level directed research in New World Archaeology.,/academics/cas/courses/cas-ar-903/
CAS AR 905,Directed Research in Old World Prehistoric Archaeology,Graduate-level directed research in Old World prehistoric archaeology.,/academics/cas/courses/cas-ar-905/
CAS AR 907,Directed Research in New World Prehistoric Archaeology,Graduate-level directed research in New World prehistoric archaeology.,/academics/cas/courses/cas-ar-907/
CAS AS 100,Cosmic Controversies,"The goal of this course is to understand our place in the physical universe by examining three recent concepts that have revolutionized cosmic awareness. The observations that led to the proposals of Dark Matter and Dark Energy, the reclassification of Pluto to non-planet status, and the discovery of many planets orbiting other stars within life-sustaining regions called Habitable Zones radically change the human perspectives on origins and life. In each case, the roles of evidence, validation and conclusions are used to enhance students' capabilities and skills needed for our modern age. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Teamwork/Collaboration.",/academics/cas/courses/cas-as-100/
CAS AS 101,The Solar System,"The historical development of astronomy and the motion of the planets. The formation of the solar system. The sun and its effects on the earth. Description of the planets and the moons of our solar system including recent results from the space program. Use of the observatory. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking.",/academics/cas/courses/cas-as-101/
CAS AS 102,The Astronomical Universe,"The birth and death of stars. Red giants, white dwarfs, black holes. Our galaxy, the Milky Way, and other galaxies. The Big Bang and other cosmological theories of our expanding universe. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Teamwork/Collaboration. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking.",/academics/cas/courses/cas-as-102/
CAS AS 105,Alien Worlds,"Examination of planets in other star systems and comparison with planets in our solar system. Study the historical context of planetary astrophysics and changes in our understanding of planetary formation and evolution. Explore the possibility of life on other worlds. Carries natural science divisional credit (without lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Scientific Inquiry I, Critical Thinking. Effective Fall 2024, this course fulfills a single unit in each of the following BU HUB areas: Quantitative Reasoning I, Scientific Inquiry I, Critical Thinking.",/academics/cas/courses/cas-as-105/
CAS AS 107,Life Beyond Earth: A Consideration of Extraterrestrial Civilizations,"About 10% of the planets in our Milky Way galaxy are like Earth in size and material composition. The same physical laws operate everywhere so extraterrestrial life may be both common and technologically advanced. Where is Everybody? Carries natural science divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I.",/academics/cas/courses/cas-as-107/
CAS AS 109,Cosmology,"The evolution of cosmological thought from prehistory to the present: Greek astronomy, Copernicus, Galileo, Newton, and Einstein. Motion, gravity, and the nature of space-time. The expanding universe. The early universe and Big Bang. Carries natural science divisional credit in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking.",/academics/cas/courses/cas-as-109/
CAS AS 202,Principles of Astronomy 1,"Undergraduate Corequisites: (CASMA123) - Astronomical observing and the night sky; optics and telescopes; birth of modern astronomy; atoms, spectra and spectroscopy; planetary motion and orbits; overview of solar system; uses observatory. Intended primarily for astronomy or physics majors. Lectures and laboratories. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking.",/academics/cas/courses/cas-as-202/
CAS AS 203,Principles of Astronomy 2,"Undergraduate Corequisites: (CASMA123) - Astronomical measurements; time and the celestial sphere; telescopes and observatories; the solar system, orbital motion; comparative planetology; the sun and solar-terrestrial effects; electromagnetic radiation; spectroscopy, stellar properties and stellar evolution; the Milky Way galaxy; galaxies; the universe. Lectures and laboratories. Intended primarily for astronomy or physics concentrators. Carries natural science divisional credit (with lab) in CAS. Effective Spring 2019, this course fulfills a single unit in the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Critical Thinking.",/academics/cas/courses/cas-as-203/
CAS AS 311,Planetary Physics,"Undergraduate Prerequisites: CAS MA 124; and CAS PY 211 or CAS PY 251. - Celestial mechanics, tides, resonances. Physical processes that affect atmospheres, surfaces, interiors of planets, and their satellites. Comets, asteroids, meteorites, and Kuiper belt objects. Formation and evolution of the solar system. Extra-solar planets. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Scientific Inquiry II, Teamwork/Collaboration.",/academics/cas/courses/cas-as-311/
CAS AS 312,Stellar and Galactic Astrophysics,"Undergraduate Prerequisites: CAS MA 124; and CAS PY 212 or CAS PY 252. - Basic physics of radiation; radiative transfer; spectral analysis; distances, motions, and physical properties of stars; stellar interiors and atmospheres; stellar evolution; clusters of stars; the interstellar medium; content, structure, and rotation of the Milky Way Galaxy. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Teamwork/Collaboration. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Scientific Inquiry II, Creativity/Innovation.",/academics/cas/courses/cas-as-312/
CAS AS 401,Honors Work in Astronomy,Undergraduate Prerequisites: consent of instructor and approval of Honors Proposal by both the Astr onomy Director of Undergraduate Studies and the Department Chair. - Directed research culminating in a senior thesis. Requirement for honors in Astronomy. Four credits for each of two consecutive semesters of the senior year.,/academics/cas/courses/cas-as-401/
CAS AS 402,Honors Work in Astronomy,Undergraduate Prerequisites: consent of instructor and approval of Honors Proposal by both the Astr onomy Director of Undergraduate Studies and the Department Chair. - Directed research culminating in a senior thesis. Requirement for honors in Astronomy. Four credits for each of two consecutive semesters of the senior year.,/academics/cas/courses/cas-as-402/
CAS AS 413,Extragalactic Astrophysics and Cosmology,"Undergraduate Prerequisites: CAS AS 203, CAS AS 312, and CAS PY 355. - Historical and intellectual developments that led to our current understanding of the universe; galaxies, galaxy clusters and large-scale structure; galaxy formation and evolution; dark matter and dark energy; Hot Big Bang and inflation; foundations of general relativity. (Offered alternate years.) Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Historical Consciousness, Research and Information Literacy.",/academics/cas/courses/cas-as-413/
CAS AS 414,Solar and Space Physics,"Undergraduate Prerequisites: CAS PY 355; and CAS PY 212 or CAS PY 252. - The historical development of solar and space physics. Solar system plasma physics. The Sun, solar magnetic field, solar activity, and solar wind. Earth's magnetosphere and ionosphere. Magnetic storms and space weather. Research project relevant to solar and space physics. Oral and/or signed presentation on research project. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Historical Consciousness, Research and Information Literacy.",/academics/cas/courses/cas-as-414/
CAS AS 441,Observational Astronomy,"Undergraduate Prerequisites: CAS AS 312; First Year Writing Seminar (e.g., WR 100 or WR 120) - Astronomical techniques. Photometry, spectroscopy, imaging, polarimetry and interferometry. Statistical methods for data reduction and analysis. Technical writing and oral/signed presentation. Strong laboratory component. Effective Spring 2021, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Writing-Intensive Course, Research and Information Literacy.",/academics/cas/courses/cas-as-441/
CAS AS 491,Directed Studies in Astronomy,"Undergraduate Prerequisites: consent of instructor and approval of CAS Academic Advising Office. - Devoted to an intensive study of a particular aspect of astronomy, often working with a member of the faculty on a specific research project.",/academics/cas/courses/cas-as-491/
CAS AS 492,Directed Studies in Astronomy,"Undergraduate Prerequisites: consent of instructor and approval of CAS Academic Advising Office. - Devoted to an intensive study of a particular aspect of astronomy, often working with a member of the faculty on a specific research project.",/academics/cas/courses/cas-as-492/
CAS AS 701,Introduction to Astrophysics,"Introduction to astronomical and astrophysical nomenclature and concepts. Coordinate systems, celestial orbits, radiation, stars, stellar structure, stellar evolution, clusters of stars, galactic components, galactic structure, galaxy types, active galaxies, cosmology.",/academics/cas/courses/cas-as-701/
CAS AS 703,Introduction to Space Physics,"Survey of physical phenomena in the sun, solar wind, magnetospheres, ionospheres, and upper atmospheres of objects in the solar system. Introduction to the physical processes governing space plasmas, solar-terrestrial interactions, and ionized and neutral media surrounding the Earth and other solar system bodies.",/academics/cas/courses/cas-as-703/
CAS AS 704,Cosmic Gas Dynamics,"Gas dynamics as applied to astrophysical settings. Basic fluid mechanics. Ideal gases. One-dimensional gas flow. Supersonic flows and shock waves. Quasar jets and stellar winds. Fluid instabilities, turbulence, and convection.",/academics/cas/courses/cas-as-704/
CAS AS 706,Radiative Processes and Spectroscopy,"Generation, propagation, and transfer of electromagnetic radiation. Spectral energy distributions, continuum radiation, atomic and molecular spectral lines. Energy levels in atoms and molecules. Interaction of radiation with matter, transfer of radiation through astrophysical media. Thermal and nonthermal radiative processes.",/academics/cas/courses/cas-as-706/
CAS AS 708,Cosmic Plasma Physics,"Physics of space and astrophysical plasmas. Individual particle drifts in fields, electrostatic and electromagnetic waves and instabilities, magnetohydrodynamics, kinetic theory of waves, instabilities, and Landau damping.",/academics/cas/courses/cas-as-708/
CAS AS 709,Observational Techniques,"Telescopes, light detection, and analysis tools and techniques of experimental astronomy. Signal-to-noise calculations. Photometric and spectroscopic instrumentation and applications. Use of the observatory, CCD light detectors, modern software analysis tools, image processing. Proposal writing and science writing.",/academics/cas/courses/cas-as-709/
CAS AS 720,Graduate Research and Scholarship,"An introduction to the methods of research and scholarship required for successful graduate study and the associated ethical issues. Topics include choosing a research advisor, the research topic, the research record, scholarly writing and publishing, intellectual property, and research funding.",/academics/cas/courses/cas-as-720/
CAS AS 757,High-Energy Astrophysics,Graduate Prerequisites: (GRSAS701 & GRSAS704 & GRSAS706 & GRSAS708) or consent of instructor. - Physics of interactions between high-energy particles and photons. Compton scattering; nuclear collisions; acceleration and energy losses of high-energy particles; neutrino production; physics of cosmic rays; pulsars; accretion onto compact objects; active galactic nuclei and other high-energy phenomena.,/academics/cas/courses/cas-as-757/
CAS AS 781,Planetary Atmospheres,"Graduate Prerequisites: (GRSAS704) or consent of instructor. - Planetary and cometary atmospheres; atmospheric vertical mixing; radiative processes; catalytic ozone destruction; aurorae and airglow; planetary ionospheres; energy budgets. Planetary evolution: solar nebula, outgassing, water loss on Venus and Mars, escape of light gases, greenhouse effect, isotope fractionation, impact theory.",/academics/cas/courses/cas-as-781/
CAS AS 785,Magnetospheres,Graduate Prerequisites: (GRSAS703 & GRSAS704 & GRSAS706 & GRSAS708) or consent of instructor. - Solar wind/magnetosphere interaction. Magnetospheric dynamics and substorms. Magnetospheric electric fields and current systems. Ionosphere/magnetosphere coupling. The aurora. Magnetospheric plasma waves and instabilities. In situ plasma and field diagnostics.,/academics/cas/courses/cas-as-785/
CAS AS 786,The Sun and Heliosphere,"Graduate Prerequisites: (GRSAS701 & GRSAS703 & GRSAS704 & GRSAS706 & GRSAS708) or consent of instructor. - Fundamentals of solar and heliospheric physics, including observational methods and theory from the sun's interior through interplanetary space and into the local interstellar medium. The sun as a star. Relation of our heliosphere to astrospheres surrounding other stars.",/academics/cas/courses/cas-as-786/
CAS AS 791,Special Topics in Astrophysics,"Lecture course examining special topics of current interest in astrophysics. Offered as a 2- or 4-credit course, depending on the topic.",/academics/cas/courses/cas-as-791/
CAS AS 850,Graduate Literature Seminar I,"Weekly seminar offering graduate students the skills and practice needed for reading, evaluating, and discussing scientific peer-reviewed literature on current research topics.",/academics/cas/courses/cas-as-850/
CAS AS 851,Graduate Literature Seminar II,"Weekly seminar offering graduate students the skills and practice needed for reading, evaluating, and discussing scientific peer-reviewed literature on current research topics.",/academics/cas/courses/cas-as-851/
CAS AS 865,Graduate Research Seminar I,Weekly seminar offering graduate students the skills and practice needed for oral presentations on current research topics and to receive peer and expert feedback.,/academics/cas/courses/cas-as-865/
CAS AS 866,Graduate Research Seminar II,Weekly seminar offering graduate students the skills and practice needed for oral presentations on current research topics and to receive peer and expert feedback.,/academics/cas/courses/cas-as-866/
CAS AS 901,Research in Astronomy,RES IN ASTRONMY,/academics/cas/courses/cas-as-901/
CAS AS 902,Research in Astronomy,RES IN ASTRONMY,/academics/cas/courses/cas-as-902/
CAS AS 911,Directed Study in Astronomy,DS IN ASTRONOMY,/academics/cas/courses/cas-as-911/
CAS AS 912,Directed Study in Astronomy,DS IN ASTRONOMY,/academics/cas/courses/cas-as-912/
CAS BB 140,First Year Research in Biochemistry and Molecular Biology 1,First-semester first-year research in BMB. Application through the BMB Program. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in BMB.,/academics/cas/courses/cas-bb-140/
CAS BB 141,First Year Research in Biochemistry and Molecular Biology 2,Second-semester first-year research in BMB. Application through the BMB Program. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two- credit research does not carry major credit in BMB.,/academics/cas/courses/cas-bb-141/
CAS BB 240,Sophomore Research in Biochemistry and Molecular Biology 1,First-semester sophomore research in BMB. Application through the BMB Program. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in BMB.,/academics/cas/courses/cas-bb-240/
CAS BB 241,Sophomore Research in Biochemistry and Molecular Biology 2,Second-semester sophomore research in BMB. Application through the BMB Program. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two- credit research does not carry major credit in BMB.,/academics/cas/courses/cas-bb-241/
CAS BB 340,Junior Research in Biochemistry and Molecular Biology 1 (2 Credits),"Undergraduate Prerequisites: major GPA of at least 3.0 and junior standing. - First semester junior research including training in use of research literature. Application through the BMB Program. Students conduct research under supervision of faculty mentor. Attendance at group meetings required. Minimum 6 hours/week. Two-credit research does not carry major credit in BMB and cannot be combined with another 2-credit course for elective credit. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Research and Information Literacy.",/academics/cas/courses/cas-bb-340/
CAS BB 341,Junior Research in Biochemistry and Molecular Biology 2 (2 Credits),"Undergraduate Prerequisites: major GPA of at least 3.0, junior standing, and either BB 340, BB 350, full-time summer UROP, or any 4 credits of BB 140, BB 141, BB 240, an d BB 241, - Second-semester junior research including required participation in group meetings. Conduct research under supervision of faculty mentor. Application through BMB Department. Minimum 6 hours/week. Two-credit research does not carry major credit in BMB and cannot be combined with another 2-credit course for elective credit. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Oral and/or Signed Communication.",/academics/cas/courses/cas-bb-341/
CAS BB 350,Junior Research in Biochemistry and Molecular Biology 1 (4 Credits),"Undergraduate Prerequisites: major GPA of at least 3.0 and junior standing. - First-semester junior research including training in the use of research literature and active participation at group meetings. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Attendance at group meetings required. Minimum 12 hours/week in labwork and data analysis. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy.",/academics/cas/courses/cas-bb-350/
CAS BB 351,Junior Research in Biochemistry and Molecular Biology 2 (4 Credits),"Undergraduate Prerequisites: major GPA of at least 3.0, junior standing, and either BB 340, BB 350, full-time summer UROP, or any 4 credits of BB 140, BB 141, BB 240, an d BB 241. - Second-semester research with junior standing, including training in the use of research literature. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Students expected to attend group meetings and take a lead and make creative contributions to projects. Minimum 12 hours/week in labwork and data analysis. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Creativity/Innovation, Research and Information Literacy.",/academics/cas/courses/cas-bb-351/
CAS BB 352,Junior Research in Biochemistry and Molecular Biology 3,"Undergraduate Prerequisites: junior standing, First Year Writing Seminar (e.g., WR 100 or WR 120), major GPA of at least 3.0, junior standing and either BB 341 or BB 351 . - Third-semester research with junior standing, including required participation in group meetings. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Students expected to take a lead and make creative contributions to projects. Attendance at group meetings and final report required. Minimum 12 hours/week in lab or fieldwork, data analysis, and writing. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-bb-352/
CAS BB 401,Honors Research in Biochemistry and Molecular Biology,"Undergraduate Prerequisites: senior standing, overall and BMB GPA of at least 3.5, and approval of application by the BMB Research and Honors Committee. ; Undergraduate Corequisites: (CASBB497) - First semester of independent laboratory research under the supervision of a faculty member in a two- semester course. Overall course grade is determined by laboratory performance, oral presentation, written thesis, and defense of the thesis before a committee of three BMB faculty members. Successful completion of both CAS BB 401 and BB 402 may lead to a degree with honors in the major. This course contnues in the Spring as BB 402 and recieves a J-grade if completed satisfactorily. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy.",/academics/cas/courses/cas-bb-401/
CAS BB 402,Honors Research in Biochemistry and Molecular Biology,"Undergraduate Prerequisites: First Year Writing Seminar (e.g., WR 100 or WR 120), senior standing, overall and BMB GPA of at least 3.5, and approval of application by th e BMB Research and Honors Committee. ; Undergraduate Corequisites: (CASBB498) - Second semester of independent laboratory research under the supervision of a faculty member in a two-semester course. Overall course grade is determined by laboratory performance, oral presentation, written thesis, and defense of the thesis before a committee of three BMB faculty members. Successful completion of both CAS BB 401 and BB 402, with a minimum grade of B+, is required to graduate with honors in the major. Students must also present a research talk at the BMB symposium at the end of the Spring semester of the academic year. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Creativity/Innovation, Research and Information Literacy.",/academics/cas/courses/cas-bb-402/
CAS BB 421,Biochemistry 1,"Undergraduate prerequisites: CASCH 204 or CASCH 212 or CASCH 214 or equivalent. Introductory biochemistry. Protein structure and folding, enzyme mechanisms, kinetics, and allostery; nucleic acid structure; macromolecular biosynthesis with emphasis on specificity and fidelity; lipids and membrane structure; vitamins and coenzymes; introduction to intermediary metabolism. Three hours lecture, one hour discussion, four hours lab.  Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Critical Thinking, Teamwork/Collaboration.",/academics/cas/courses/cas-bb-421/
CAS BB 450,Senior Research in Biochemistry and Molecular Biology 1,"Undergraduate Prerequisites: major GPA of at least 3.0 and senior standing. - First-semester senior research including training in the use of research literature and active participation at group meetings. Application through the Biology Department. Students conduct research under supervision of a faculty mentor. Attendance at group meetings required. Minimum 12 hours/week in labwork and data analysis. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Research and Information Literacy.",/academics/cas/courses/cas-bb-450/
CAS BB 451,Senior Research in Biochemistry and Molecular Biology 2,"Undergraduate Prerequisites: major GPA of at least 3.0,senior standing, and either BB 340, BB 350, full-time summer UROP, or any 4 credits of BB 140, BB 141, BB 240, and BB 241. - Second-semester research with senior standing, including the use of the research literature. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Students expected to attend group meetings and take a lead and make creative contributions to projects. Minimum 12 hours/week in labwork and data analysis. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Creativity/Innovation, Research and Information Literacy.",/academics/cas/courses/cas-bb-451/
CAS BB 452,Senior Research in Biochemistry and Molecular Biology 3,"Undergraduate Prerequisites: senior standing, First Year Writing Seminar (e.g., WR 100 or WR 120), major GPA of at least 3.0, and either BB 341, or BB 351, or BB 451. - Third-semester research with senior standing, including required participation in group meetings. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Attendance at group meetings and final report required. Students expected to take a lead and make creative contributions to projects. Minimum 12 hours/week in labwork, data analysis, and writing. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Writing-Intensive Course, Creativity/Innovation.",/academics/cas/courses/cas-bb-452/
CAS BB 453,Senior Research in Biochemistry and Molecular Biology 4,"Undergraduate Prerequisites: senior standing, major GPA of at least 3.0, and BB 352 or BB 452. ; Undergraduate Corequisites: (CASBB497 OR CASBB498) - Fourth-semester research with senior standing. Application through the BMB Program. Students conduct research under supervision of a faculty mentor. Attendance at group meetings and final report required. Minimum 12 hours/week in labwork, data analysis, and writing. Students develop research presentation skills in co-requisite seminar course, BI 497 or BI 498.",/academics/cas/courses/cas-bb-453/
CAS BB 497,Honors Research in Biochemistry and Molecular Biology Seminar 1,Undergraduate Corequisites: Co-requisite for students taking CAS BB 401. - A one-credit seminar for students enrolled in BB 401 in the Fall semester. Students learn and present digitally produced descriptions of their research and prepare their theses for defense under the guidance of the Research and Honors Committee. This course contnues in the Spring as BB 498 and recieves a J-grade if completed satisfactorily.,/academics/cas/courses/cas-bb-497/
CAS BB 498,Honors Research in Biochemistry and Molecular Biology Seminar 2,"Undergraduate Corequisites: Co-requisite for students taking CAS BB 402. - A one-credit continuation of BB 497 for students enrolled in Honors Research in BMB, CAS BB 402, in the spring. Students learn and present digitally produced descriptions of their research and prepare their theses for defense under the guidance of the Research and Honors Committee and present at the BMB Symposium at the end of the semester. A minimum grade of B+ in BB 497/498 and in BB 401/402 is required to graduate with Honors in BMB. Effective Fall 2020, this course fulfills a single unit in the following BU Hub area: Digital/Multimedia Expression.",/academics/cas/courses/cas-bb-498/
CAS BB 522,Molecular Biology Laboratory,"Introduction to techniques of molecular biology research, including analysis of DNA, RNA, and protein molecules by techniques such as restriction enzyme digestions, PCR, subcloning, DNA sequencing and analysis, reporter gene assays, protein-protein interactions, and culturing and yeast molecular biology. Effective Spring 2024, this course fulfills a single unit in each of the following Teamwork/Collaboration, Creativity/Innovation.",/academics/cas/courses/cas-bb-522/
CAS BB 527,Biochemistry Laboratory 1,"Undergraduate prerequisites: CASCH 204 OR CASCH 212 OR CASCH 214 OR CASCH 282. Emphasizes the purification and characterization of proteins and DNA. Development and use of modern instrumentation and techniques. Same as laboratory portion of CASBB 421. Required for BMB students enrolled concurrently in MMEDIC. Four hours lab, one hour lecture. Effective Fall 2024, this course fulfills a single unit in the following BU Hub area: Teamwork/Collaboration.",/academics/cas/courses/cas-bb-527/
CAS BB 592,Graduate Research in Biochemistry and Molecular Biology,"Undergraduate Prerequisites: admission to the combined BA/MA Biotechnology Program. - Continuation of the laboratory research project initiated in CAS BB 591, under supervision of a faculty member. Externships are acceptable if approved and overseen by a BMB faculty member or the BMB Director. Minimum of 15 hours per week in the lab, culminating in a presentation at the BMB symposium. Effective Spring 2022, this course fulfills a single unit in each of the following BU Hub areas: Digital/Multimedia Expression, Creativity/Innovation.",/academics/cas/courses/cas-bb-592/
CAS BB 621,Biochemistry 1,"Undergraduate prerequisites: CASCH204 OR CASCH212 OR CASCH214 or equivalent. Introductory biochemistry for majors. Protein structure and folding, enzyme mechanisms, kinetics, and allostery; nucleic acid structure; macromolecular biosynthesis with emphasis on specificity and fidelity; lipids and membrane structure; carbohydrate structure, vitamins and coenzymes. Three hours lecture, one hour pre-lab discussion, four hours lab. Effective Fall 2024, this course fulfills a single unit in each of the following BU Hub areas: Writing- Intensive Course, Quantitative Reasoning II, Critical Thinking, Teamwork/Collaboration. Effective Spring 2024, this course fulfills a single unit in each of the following BU Hub areas: Quantitative Reasoning II, Critical Thinking, Teamwork/Collaboration.",/academics/cas/courses/cas-bb-621/
CAS BI 105,Introductory Biology for Health Sciences,"Principles of biology; emphasis on cellular structure, genetics, microbiology, development, biochemistry, metabolism, and immunology. This course is appropriate for non-majors and students in the health and paramedical sciences (Sargent College). Students may not receive credit for CAS BI 105 if CAS BI 108 has already been passed. Three hours lecture, two hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Research and Information Literacy.",/academics/cas/courses/cas-bi-105/
CAS BI 107,Biology 1,"For students who plan to major in the natural sciences or environmental science, and for premedical students. Required for biology majors. No prerequisite. The evolution and diversity of life; principles of ecology; behavioral biology. Three hours lecture, three hours lab including several field studies. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning I, Critical Thinking, Research and Information Literacy.",/academics/cas/courses/cas-bi-107/
CAS BI 108,Biology 2,"For students planning to major in the natural sciences and for premedical students. Required for biology majors. It is strongly recommended students complete CAS CH 101 (or equivalent) before this course. High school biology is assumed. Biochemistry, cell & molecular biology, Mendelian & molecular genetics, physiology, and neurobiology. Three hours lecture, three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Critical Thinking, Teamwork/Collaboration.",/academics/cas/courses/cas-bi-108/
CAS BI 109,Biology 2 (Discussion),Undergraduate Prerequisites: restricted to BU Academy students. - Discussion section for BU Academy students enrolled in CAS BI 108.,/academics/cas/courses/cas-bi-109/
CAS BI 114,Human Infectious Diseases,"Not for Biology major or minor credit. A study of the world's major human diseases, their causes, effects on history, pathology, and cures. Principles of immunology. Emphasis on present maladies such as AIDS, herpes, cancer, mononucleosis, tuberculosis, influenza, and hepatitis. This course is appropriate for non- majors and students in the health and paramedical sciences (Sargent College). Three hours lecture, three hours lab. Carries natural science divisional credit (with lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry I, Quantitative Reasoning II, Critical Thinking.",/academics/cas/courses/cas-bi-114/
CAS BI 116,Biology 2 with Integrated Science Experience 1 Lab,"Undergraduate Prerequisites: (CASCH101) First Year Writing Seminar (e.g., WR 100 or WR 120); Undergraduate Corequisites: (CASCH116) - Integration of general chemistry with biology and neuroscience, with an emphasis on how each discipline interacts experimentally. Laboratory focuses on projects relating to enzymes and their function. 3 lecture hours (meets with CAS Bl 108 lecture), 3 hours lab. Effective Fall 2019, this course fulfills a single unit in each of the following BU Hub areas: Scientific Inquiry II, Quantitative Reasoning II, Writing-Intensive Course, Critical Thinking.",/academics/cas/courses/cas-bi-116/
CAS BI 119,Sociobiology,"Designed for non-science majors to fulfill natural science divisional requirements. The evolution of animal and human societies; the adaptive significance of social organization; altruism; cooperation; courtship and reproductive behavior; the genetics, development, and epigenetics of social behavior; human social evolution; evolutionary psychology; religion; impact of evolutionary theory on social thought. Three hours lecture plus discussion. Carries natural science divisional credit (without lab) in CAS. Effective Fall 2018, this course fulfills a single unit in each of the following BU Hub areas: Philosophical Inquiry and Life's Meanings, Scientific Inquiry I, Critical Thinking.",/academics/cas/courses/cas-bi-119/
CAS BI 126,Human Genetics,"Classical and molecular genetics, advances in genetic technologies, and social/ethical issues related to genetic testing. Designed for science and non- science majors but cannot fulfill Biology/BMB major/minor or pre-medical requirements. Students cannot receive credit for both CAS BI 126 and BI 206/216. Effective Fall 2020, this course fulfills a single unit in each of the following BU Hub areas: Oral and/or Signed Communication, Scientific Inquiry I, Research and Information Literacy.",/academics/cas/courses/cas-bi-126/
CAS BI 140,First Year Research in Biology 1,First semester first year research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology.,/academics/cas/courses/cas-bi-140/
CAS BI 141,First Year Research in Biology 2,Second semester first year research in Biology. Application through the Biology Department. Minimum 6 hours/week. Students conduct research under supervision of faculty mentor. Two-credit research does not carry major credit in Biology.,/academics/cas/courses/cas-bi-141/
